I avoid eating when am hungry,I cut my food into small pieces,"I particularly avoid food with high carbonhydrate(bread,rice,potatoes etc)",I take longer time than others to eat my meals,I avoid food and drink with sugar content,I like my stomach empty ,I fast to avoid eating
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,4,0
0,0,0,0,0,4,0
0,0,0,0,0,4,0
0,6,0,0,0,4,0
0,6,0,0,0,4,0
0,6,0,0,0,4,0
0,6,0,0,0,4,0
0,6,0,0,0,4,0
0,6,0,0,0,4,0
0,6,0,0,0,4,0
0,6,0,0,0,4,0
0,6,0,0,0,4,0
0,6,0,0,0,4,0
0,6,0,5,0,4,0
0,6,0,5,0,4,0
0,6,0,5,0,4,0
0,6,0,5,0,6,7
0,6,0,2,0,6,7
0,3,0,2,0,6,7
0,3,0,2,0,6,7
0,3,0,2,0,6,7
0,3,0,2,0,6,7
0,3,0,2,0,6,7
0,3,0,2,0,6,7
6,3,0,2,6,6,4
6,3,0,2,6,6,4
6,3,0,2,6,6,4
6,3,0,2,6,6,4
6,3,0,2,6,6,4
6,3,0,4,6,6,4
6,3,0,4,6,6,4
6,3,0,4,6,6,4
6,3,0,4,6,6,4
6,5,0,4,6,6,4
6,5,0,4,6,6,4
6,5,0,4,6,6,4
6,5,0,4,6,6,6
6,5,0,4,6,6,6
6,5,0,4,6,6,6
6,5,0,4,6,6,6
6,5,0,4,6,6,6
6,5,0,4,6,6,6
6,5,0,4,6,6,6
6,5,5,4,6,6,6
2,5,5,4,6,6,6
2,5,5,4,6,6,6
2,5,5,4,6,6,6
2,5,5,4,6,6,6
2,5,5,4,6,6,6
2,5,5,4,6,6,6
2,5,5,4,6,6,6
2,5,5,4,6,6,6
2,5,5,4,6,6,6
2,5,5,4,6,6,6
2,5,5,4,6,6,6
2,5,5,4,6,6,6
2,5,5,4,3,6,6
2,5,5,4,3,5,6
2,5,5,3,3,5,6
2,5,5,3,3,5,6
2,5,5,3,3,5,6
2,5,5,3,3,5,6
2,5,5,3,3,5,6
2,5,5,3,3,5,6
5,5,5,3,3,5,6
5,5,5,3,3,5,6
5,5,5,3,3,5,6
5,5,5,3,3,5,6
5,5,5,3,3,5,6
5,5,5,3,3,5,6
5,4,5,3,3,5,6
5,4,5,3,3,5,6
5,4,5,3,3,5,6
5,4,2,3,3,5,6
5,4,2,3,3,5,6
5,4,2,3,3,5,6
5,4,2,3,3,5,6
5,4,2,3,3,5,6
5,4,2,3,3,5,6
5,4,2,3,3,5,6
5,4,2,3,3,5,6
5,4,4,3,3,5,6
5,4,4,3,3,5,6
5,4,4,3,3,5,6
5,4,4,3,3,5,6
5,4,4,3,3,5,6
5,4,4,3,3,5,6
5,4,4,3,3,5,6
5,4,4,3,3,5,6
5,4,4,3,3,5,6
5,4,4,3,3,5,6
5,4,4,3,3,5,6
5,4,4,3,3,5,6
5,4,4,3,3,5,6
5,4,4,3,3,5,6
5,4,4,3,3,5,6
5,4,4,3,3,5,6
5,4,3,3,5,5,6
5,4,3,3,5,5,6
5,4,3,3,5,5,6
3,4,3,3,5,5,6
3,4,3,3,5,5,6
3,4,3,3,5,5,6
3,4,3,3,5,5,6
3,4,3,3,5,5,6
3,4,3,3,5,5,6
3,4,3,3,5,5,6
3,2,3,3,5,5,6
3,2,3,1,5,5,6
3,2,3,1,5,5,6
3,2,3,1,5,5,6
3,2,3,1,5,5,6
3,2,3,1,5,5,6
3,2,3,1,5,5,6
3,2,3,1,5,5,5
3,2,3,1,5,5,5
4,2,3,1,5,5,5
3,2,3,1,5,1,5
3,2,3,1,5,1,5
3,2,3,1,5,1,5
3,2,3,1,5,1,5
3,2,3,1,5,1,5
3,2,3,1,5,1,5
3,2,3,1,5,1,5
3,2,3,1,5,1,5
3,2,3,1,4,1,5
3,2,3,1,4,1,5
3,2,3,1,4,1,5
3,2,1,1,4,1,5
3,2,1,1,4,1,5
3,2,1,1,4,1,5
3,2,1,1,4,1,5
3,2,1,1,4,1,5
3,2,1,1,4,1,5
3,2,1,1,4,1,5
3,2,1,1,4,1,5
3,2,1,1,4,1,5
3,2,1,1,4,1,5
3,2,1,1,4,1,5
3,2,1,1,4,1,5
3,2,1,1,4,1,5
3,2,1,1,4,1,5
3,2,1,1,4,1,5
3,2,1,1,4,1,5
3,2,1,1,4,1,5
3,2,1,1,4,1,5
3,2,1,1,4,1,5
1,2,1,1,4,1,5
1,2,1,1,4,1,5
1,2,1,1,4,1,5
1,2,1,1,4,1,5
1,2,1,1,4,1,5
1,2,1,1,4,1,5
1,2,1,1,4,1,5
1,2,1,1,4,1,5
1,2,1,1,4,1,5
1,2,1,1,4,1,5
1,2,1,1,4,1,5
1,2,1,1,4,1,5
1,2,1,1,4,1,5
1,2,1,1,4,1,5
1,2,1,1,4,1,5
1,2,1,1,4,1,5
1,2,1,1,4,1,5
1,2,1,1,4,1,5
1,2,1,1,1,1,5
1,2,1,1,1,1,5
1,2,1,1,1,1,3
1,2,1,1,1,1,3
1,2,1,1,1,1,3
1,2,1,1,1,1,3
1,2,1,1,1,1,3
1,2,1,1,1,1,3
1,2,1,1,1,1,3
1,2,1,1,1,1,3
1,2,1,1,1,1,3
1,2,1,1,1,1,3
1,2,1,1,1,1,3
1,2,1,1,1,1,3
1,2,1,1,1,1,3
1,2,1,1,1,1,3
1,2,1,1,1,1,3
1,2,1,1,1,1,3
0,1,0,0,0,0,1
0,1,0,0,0,0,1
0,1,0,0,0,0,1
0,1,0,0,0,0,1
0,1,0,0,0,3,1
0,1,0,0,0,3,1
0,1,0,0,0,3,1
0,1,0,0,0,3,1
0,1,0,0,0,3,1
0,1,0,0,0,3,1
0,6,0,0,0,3,1
0,6,0,0,0,3,1
0,6,0,0,0,3,1
0,6,0,0,0,3,1
0,6,0,0,0,3,1
0,6,0,0,0,3,1
0,6,0,5,0,3,1
0,6,0,5,0,3,1
0,6,0,5,0,3,1
0,6,0,5,0,3,1
0,6,0,2,0,3,7
0,6,0,2,0,6,7
0,6,0,2,0,6,7
0,6,0,2,0,6,7
0,6,0,2,0,6,7
0,6,0,2,0,6,7
0,6,0,2,0,6,7
0,3,0,2,0,6,7
6,3,0,2,6,6,4
6,3,0,2,6,6,4
6,3,0,2,6,6,4
6,3,0,2,6,6,4
6,3,0,4,6,6,4
6,3,0,4,6,6,4
6,3,0,4,6,6,4
6,3,0,4,6,6,4
6,3,0,4,6,6,4
6,3,0,4,6,6,4
6,3,0,4,6,6,4
6,3,0,4,6,6,4
6,3,0,4,6,6,6
6,3,0,4,6,6,6
6,3,0,4,6,6,6
6,3,0,4,6,6,6
6,3,0,4,6,6,6
6,3,0,4,6,6,6
6,5,0,4,6,6,6
6,5,0,4,6,6,6
2,5,0,4,6,6,6
2,5,0,4,6,6,6
2,5,0,4,6,6,6
2,5,0,4,6,6,6
2,5,0,4,6,6,6
2,5,0,4,6,6,6
2,5,0,4,6,6,6
2,5,0,4,6,6,6
2,5,0,4,6,6,6
2,5,0,4,6,6,6
2,5,0,4,6,6,6
2,5,0,4,6,6,6
2,5,0,4,2,6,6
2,5,0,4,2,6,6
2,5,0,4,2,6,6
2,5,0,4,2,5,6
2,5,0,4,2,5,6
